Link , outLinkSimilarity , inLinkSimilarity , lexicalSimilarity , numOutLinks , numInLinks , length , Category-similarity , Class
/wiki/Human , 0.00865051903114 , 0.0261233019854 , 0.070206230803 , 579 , 6445 , 53848 , 0 , Ca
/wiki/United_States , 0.00109769484083 , 0.000845104430762 , 0.0480984340045 , 913 , 6763 , 65685 , 0 , Sp
/wiki/Primate , 0.0666666666667 , 0.0563646170442 , 0.10632183908 , 405 , 2433 , 37309 , 0 , Ca
/wiki/European_Union , 0.0046875 , 0.00147080453008 , 0.0552259242355 , 679 , 5273 , 57372 , 0 , Sp
/wiki/Wikipedia:Citation_needed , 0.0 , 0.00120609075833 , 0.00856531049251 , 2 , 4916 , 186 , 0 , Sp
/wiki/Animal_rights , 0.00442477876106 , 0.00374812593703 , 0.0629464285714 , 182 , 2321 , 54584 , 0 , Pr
/wiki/Wikipedia:Citation_needed , 0.0 , 0.00120609075833 , 0.00856531049251 , 2 , 4916 , 186 , 0 , Sp
/wiki/Animal_rights , 0.00442477876106 , 0.00374812593703 , 0.0629464285714 , 182 , 2321 , 54584 , 0 , Pr
/wiki/Animal_welfare , 0.0232558139535 , 0.00595491280306 , 0.0731244064577 , 62 , 646 , 14397 , 0 , Pr
/wiki/Wikipedia:Citation_needed , 0.0 , 0.00120609075833 , 0.00856531049251 , 2 , 4916 , 186 , 0 , Sp
/wiki/Monkeys_in_space , 0.024 , 0.0032414910859 , 0.0562962962963 , 61 , 137 , 6539 , 1 , El
/wiki/V-2 , 0.0141509433962 , 0.00115118956255 , 0.0543689320388 , 178 , 934 , 25738 , 0 , Pr
/wiki/Monkey_brain_(cuisine) , 0.0 , 0.000576036866359 , 0.0525362318841 , 17 , 12 , 1833 , 1 , El
/wiki/Islamic_dietary_laws , 0.0176991150442 , 0.00187705302675 , 0.0642317380353 , 49 , 420 , 7675 , 0 , Sp
/wiki/Haraam , 0.0 , 0.000510204081633 , 0.0385964912281 , 19 , 237 , 2207 , 0 , Sp
/wiki/Bushmeat , 0.0333333333333 , 0.00951374207188 , 0.078914919852 , 53 , 187 , 7638 , 0 , El
/wiki/Sun_Wukong , 0.0258064516129 , 0.00600300150075 , 0.069033530572 , 104 , 293 , 13282 , 0 , Pr
/wiki/Chinese_mythology , 0.00769230769231 , 0.00172637030643 , 0.0571761960327 , 74 , 599 , 9341 , 0 , Pr
/wiki/Journey_to_the_West , 0.0185185185185 , 0.00409090909091 , 0.0740157480315 , 118 , 487 , 19431 , 0 , Pr
/wiki/Television_program , 0.00595238095238 , 0.00222428174235 , 0.0712909441233 , 114 , 3776 , 17369 , 0 , Pr
/wiki/Monkey_(TV_series) , 0.0357142857143 , 0.00164654226125 , 0.0653008962868 , 49 , 107 , 7613 , 0 , Pr
/wiki/Monsieur_Eek , 0.0 , 0.000575705238918 , 0.0166666666667 , 9 , 13 , 494 , 0 , Pr
/wiki/Curious_George , 0.00826446280992 , 0.00521648408972 , 0.0670241286863 , 52 , 203 , 7764 , 0 , Pr
/wiki/Terry_Pratchett , 0.00947867298578 , 0.0013025073266 , 0.0643729189789 , 431 , 1356 , 38401 , 0 , Pr
/wiki/Discworld , 0.009375 , 0.0022639068564 , 0.0694345025054 , 340 , 1552 , 23823 , 0 , Pr
/wiki/Librarian_(Discworld) , 0.0110701107011 , 0.000572409845449 , 0.0550621669627 , 264 , 23 , 30633 , 0 , Pr
/wiki/Unseen_University , 0.0110701107011 , 0.00201612903226 , 0.0550621669627 , 264 , 404 , 30633 , 0 , Pr
/wiki/Orangutan , 0.0114942528736 , 0.0293470286134 , 0.0713632204941 , 111 , 1102 , 16258 , 0 , Ca
/wiki/Winged_monkeys , 0.00961538461538 , 0.000987166831194 , 0.0547337278107 , 34 , 314 , 4972 , 0 , Ca
/wiki/List_of_Oz_books , 0.0 , 0.00140778977006 , 0.0578947368421 , 52 , 485 , 6930 , 0 , Pr
/wiki/Hanuman , 0.00934579439252 , 0.00567502986858 , 0.0471641791045 , 195 , 1662 , 32902 , 0 , Pr
/wiki/Hinduism , 0.00756143667297 , 0.00334946036472 , 0.0597530864198 , 617 , 3691 , 42226 , 0 , Pr
/wiki/Buddhism , 0.00468018720749 , 0.00259304453935 , 0.0520210896309 , 833 , 5077 , 82402 , 0 , Pr
/wiki/Buddhism_in_China , 0.0 , 0.0 , 0.00218818380744 , 3 , 1364 , 46 , 0 , Pr
/wiki/Mind_monkey , 0.0138248847926 , 0.0 , 0.0571073867163 , 388 , 19 , 27735 , 0 , Pr
/wiki/Three_wise_monkeys , 0.00961538461538 , 0.00222098833981 , 0.0580110497238 , 36 , 83 , 6212 , 1 , Pr
/wiki/Moche , 0.0 , 0.000975609756098 , 0.058886509636 , 55 , 332 , 9333 , 0 , Pr
/wiki/Monkey_(zodiac) , 0.025974025974 , 0.000468823253633 , 0.0279569892473 , 6 , 409 , 363 , 0 , Pr
/wiki/Chinese_zodiac , 0.0162601626016 , 0.00300902708124 , 0.0797227036395 , 60 , 295 , 20192 , 0 , Pr
/wiki/Chinese_calendar , 0.0147058823529 , 0.000596125186289 , 0.0752110514198 , 188 , 4993 , 34413 , 0 , Pr 
